"DATE","VISITING TEAM","HOME TEAM","TIME"
2010/10/07,"CAROLINA","MINNESOTA",12:00
2010/10/07,"MONTREAL","TORONTO",19:00
2010/10/07,"PHILADELPHIA","PITTSBURGH",19:00
2010/10/07,"CHICAGO","COLORADO",22:00
2010/10/07,"CALGARY","EDMONTON",22:00
2010/10/08,"MINNESOTA","CAROLINA",12:00
2010/10/08,"SAN JOSE","COLUMBUS",15:00
2010/10/08,"DALLAS","NEW JERSEY",19:00
2010/10/08,"ANAHEIM","DETROIT",19:30
2010/10/08,"BUFFALO","OTTAWA",19:30
2010/10/08,"WASHINGTON","ATLANTA",19:30
2010/10/09,"PHOENIX","BOSTON",12:00
2010/10/09,"COLUMBUS","SAN JOSE",15:00
2010/10/09,"NY RANGERS","BUFFALO",19:00
2010/10/09,"OTTAWA","TORONTO",19:00
2010/10/09,"DALLAS","NY ISLANDERS",19:00
2010/10/09,"MONTREAL","PITTSBURGH",19:00
2010/10/09,"NEW JERSEY","WASHINGTON",19:00
2010/10/09,"ATLANTA","TAMPA BAY",19:30
2010/10/09,"PHILADELPHIA","ST LOUIS",20:00
2010/10/09,"ANAHEIM","NASHVILLE",20:00
2010/10/09,"DETROIT","CHICAGO",20:30
2010/10/09,"LOS ANGELES","VANCOUVER",22:00
2010/10/10,"BOSTON","PHOENIX",10:00
2010/10/10,"LOS ANGELES","CALGARY",20:00
2010/10/10,"FLORIDA","EDMONTON",20:00
2010/10/11,"NY RANGERS","NY ISLANDERS",13:00
2010/10/11,"ANAHEIM","ST LOUIS",14:00
2010/10/11,"PITTSBURGH","NEW JERSEY",16:00
2010/10/11,"CHICAGO","BUFFALO",19:00
2010/10/11,"COLORADO","PHILADELPHIA",19:00
2010/10/11,"OTTAWA","WASHINGTON",19:00
2010/10/11,"FLORIDA","VANCOUVER",22:00
2010/10/12,"COLORADO","DETROIT",19:30
2010/10/12,"ATLANTA","LOS ANGELES",22:30
2010/10/13,"NEW JERSEY","BUFFALO",19:00
2010/10/13,"NY ISLANDERS","WASHINGTON",19:00
2010/10/13,"TAMPA BAY","MONTREAL",19:30
2010/10/13,"TORONTO","PITTSBURGH",19:30
2010/10/13,"NASHVILLE","CHICAGO",20:30
2010/10/13,"VANCOUVER","ANAHEIM",22:00
2010/10/14,"TAMPA BAY","PHILADELPHIA",19:00
2010/10/14,"CAROLINA","OTTAWA",19:00
2010/10/14,"ST LOUIS","NASHVILLE",20:00
2010/10/14,"EDMONTON","MINNESOTA",20:30
